# Source: Istanbul Okan University International Student 2026-2027 Price List (study.okan.edu.tr)
# Parsed by scripts/generate_okan_programs_sql.py — PhD block excluded (already seeded in V10).

| FACULTY of MEDICINE (6 YEAR BACHELOR DEGREE PROGRAM) |
| --- |
| DEPARTMENT | LANGUAGE | TUITION PLAN | TUITION FEE (WITH INSTALLEMENT) | PAYMENT IN ADVANCE 5% DISCOUNT |
| Cinema & Television (Without Thesis) | TURKISH | WHOLE STUDY | 3500USD | 3325USD |
| Civil Engineering (With Thesis) | TURKISH | WHOLE STUDY | 4500USD | 4275USD |
| Clinical Psychology (With Thesis) | TURKISH | WHOLE STUDY | 28500USD | 27075USD |
| Clinical Psychology (Without Thesis) | TURKISH | WHOLE STUDY | 23750USD | 22565USD |
| Computer Engineering (With Thesis) | TURKISH | WHOLE STUDY | 4500USD | 4275USD |
| Computer Engineering (Without Thesis) | TURKISH | WHOLE STUDY | 3500USD | 3325USD |
| Economy Law | TURKISH | WHOLE STUDY | 4500USD | 4275USD |
| Economy Law | TURKISH | WHOLE STUDY | 3500USD | 3325USD |
| Educational Administration & Supervision (With Thesis) | TURKISH | WHOLE STUDY | 4500USD | 4275USD |
| Educational Administration & Supervision (Without Thesis) | TURKISH | WHOLE STUDY | 3500USD | 3325USD |
| Engineering Management (With Thesis) | TURKISH | WHOLE STUDY | 4500USD | 4275USD |
| Engineering Management (Without Thesis) | TURKISH | WHOLE STUDY | 3500USD | 3325USD |
| Entrepreneurship (With Thesis) | TURKISH | WHOLE STUDY | 4500USD | 4275USD |
| Entrepreneurship (Without Thesis) | TURKISH | WHOLE STUDY | 3500USD | 3325USD |
| Explosives Engineering (With Thesis) | TURKISH | WHOLE STUDY | 4500USD | 4275USD |
| Explosives Engineering (Without Thesis) | TURKISH | WHOLE STUDY | 3500USD | 3325USD |
| Fashion Design (With Thesis) | TURKISH | WHOLE STUDY | 4500USD | 4275USD |
| Fashion Design (Without Thesis) | TURKISH | WHOLE STUDY | 3500USD | 3325USD |
| Finance (With Thesis) | TURKISH | WHOLE STUDY | 4500USD | 4275USD |
| Finance (Without Thesis) | TURKISH | WHOLE STUDY | 3500USD | 3325USD |
| Finance (With Thesis) | ENGLISH | WHOLE STUDY | 6000USD | 5700USD |
| Finance (Without Thesis) | ENGLISH | WHOLE STUDY | 5000USD | 4750USD |
| Gastronomy (With Thesis) | ENGLISH | WHOLE STUDY | 6000USD | 5700USD |
| Gastronomy (With Thesis) | TURKISH | WHOLE STUDY | 4500USD | 4275USD |
| Gastronomy (Without Thesis) | ENGLISH | WHOLE STUDY | 5000USD | 4750USD |
| Gastronomy (Without Thesis) | TURKISH | WHOLE STUDY | 3500USD | 3325USD |
| Geomatics Engineering (With Thesis) | TURKISH | WHOLE STUDY | 4500USD | 4275USD |
| Geomatics Engineering (Without Thesis) | TURKISH | WHOLE STUDY | 3500USD | 3325USD |
| Geotechnical Engineering (With Thesis) | TURKISH | WHOLE STUDY | 4500USD | 4275USD |
| Geotechnical Engineering (Without Thesis) | TURKISH | WHOLE STUDY | 3500USD | 3325USD |
| Healthcare Management (With Thesis) | TURKISH | WHOLE STUDY | 4500USD | 4275USD |
| Healthcare Management (Without Thesis) | TURKISH | WHOLE STUDY | 3500USD | 3325USD |
| Human Resources Management (With Thesis) | TURKISH | WHOLE STUDY | 4500USD | 4275USD |
| Human Resources Management (Without Thesis) | TURKISH | WHOLE STUDY | 3500USD | 3325USD |
| Information Systems (With Thesis) | ENGLISH | WHOLE STUDY | 6000USD | 5700USD |
| Information Systems (Without Thesis) | ENGLISH | WHOLE STUDY | 5000USD | 4750USD |
| Information Systems (With Thesis) | TURKISH | WHOLE STUDY | 4500USD | 4275USD |
| Information Systems (Without Thesis) | TURKISH | WHOLE STUDY | 3500USD | 3325USD |
| Information Technology (IT) Law (With Thesis) | TURKISH | WHOLE STUDY | 4500USD | 4275USD |
| Information Technology (IT) Law (Without Thesis) | TURKISH | WHOLE STUDY | 3500USD | 3325USD |
| Interior Architecture & Environmental Design (With Thesis) | TURKISH | WHOLE STUDY | 4500USD | 4275USD |
| Interior Architecture & Environmental Design (Without Thesis) | TURKISH | WHOLE STUDY | 3500USD | 3325USD |
| International Logistics (With Thesis) | TURKISH | WHOLE STUDY | 4500USD | 4275USD |
| International Logistics (Without Thesis) | TURKISH | WHOLE STUDY | 3500USD | 3325USD |
| International Relations (With Thesis) | TURKISH | WHOLE STUDY | 4500USD | 4275USD |
| International Relations (Without Thesis) | TURKISH | WHOLE STUDY | 3500USD | 3325USD |
| International Trade (With Thesis) | ENGLISH | WHOLE STUDY | 6000USD | 5700USD |
| International Trade (With Thesis) | TURKISH | WHOLE STUDY | 4500USD | 4275USD |
| International Trade (Without Thesis) | ENGLISH | WHOLE STUDY | 5000USD | 4750USD |
| International Trade (Without Thesis) | TURKISH | WHOLE STUDY | 3500USD | 3325USD |
| Local Administrations (With Thesis) | TURKISH | WHOLE STUDY | 4500USD | 4275USD |
| Local Administrations (Without Thesis) | TURKISH | WHOLE STUDY | 3500USD | 3325USD |
| Logistics Management (With Thesis) | TURKISH | WHOLE STUDY | 4500USD | 4275USD |
| Logistics Management (Without Thesis) | TURKISH | WHOLE STUDY | 3500USD | 3325USD |
| Logistics Management (Without Thesis) (Distance Learning) | TURKISH | WHOLE STUDY | 3500USD | 3325USD |
| Marketing (With Thesis) | ENGLISH | WHOLE STUDY | 6000USD | 5700USD |
| Marketing (Without Thesis) | ENGLISH | WHOLE STUDY | 5000USD | 4750USD |
| Marketing Communication (With Thesis) | TURKISH | WHOLE STUDY | 4500USD | 4275USD |
| MBA – Business Administration (With Thesis) | ENGLISH | WHOLE STUDY | 6000USD | 5700USD |
| MBA – Business Administration (With Thesis) | TURKISH | WHOLE STUDY | 4500USD | 4275USD |
